Station,Price,Date,Fuel,ScrapeDate,Source
ÖvrigaÄlmhultForsells / Värmevägen 3,14.54,2025-10-02,Diesel,2025-10-06,bensinpriser.nu
St1GullspångHova: Mariestadsvägen 36,14.69,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,14.73,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
OKQ8UddevallaTrumpetvägen 1,14.79,2025-10-04,Diesel,2025-10-06,bensinpriser.nu
St1Upplands-BroBrunna / Kungsängen,14.84,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
St1ÖsteråkerRallarvägen 7 Åkersberga,14.84,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
IngoMalmöLorensborgsgatan 1,14.85,2025-10-04,Diesel,2025-10-06,bensinpriser.nu
IngoMalmöScheelegatan 1,14.85,2025-10-04,Diesel,2025-10-06,bensinpriser.nu
St1SvalövRönnebergsvägen 1,14.89,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
St1MalmöLundavägen 92,14.89,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
St1MalmöEriksfältsgatan 80,14.89,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
St1MalmöSvågertorp / Nornegatan 4,14.89,2025-10-05,Diesel,2025-10-06,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.09,2025-10-05,Etanol,2025-10-06,bensinpriser.nu
St1GullspångHova: Mariestadsvägen 36,12.59,2025-10-05,Etanol,2025-10-06,bensinpriser.nu
St1Upplands-BroBrunna / Kungsängen,12.74,2025-10-05,Etanol,2025-10-06,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,14.69,2025-10-06,95 (E10),2025-10-07,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.75,2025-10-06,95 (E10),2025-10-07,bensinpriser.nu
St1Gotland NSöderväg 11 Visby,15.19,2025-10-06,95 (E10),2025-10-07,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.54,2025-10-04,98,2025-10-07,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,15.39,2025-10-05,98,2025-10-07,bensinpriser.nu
ShellSollentunaRudbecksvägen 141,15.79,2025-10-06,98,2025-10-07,bensinpriser.nu
IngoGöteborgHjällbovägen 1 Angered,15.89,2025-10-04,98,2025-10-07,bensinpriser.nu
OKQ8Gotland SRonevägen Hemse,15.9,2025-10-06,98,2025-10-07,bensinpriser.nu
ÖvrigaTrollhättanGrafitvägen 16,15.99,2025-10-01,98,2025-10-07,bensinpriser.nu
PreemHässleholmS Kringelv,16.84,2025-10-05,98,2025-10-07,bensinpriser.nu
PreemMarkRedskapsgatan Skene,16.94,2025-10-06,98,2025-10-07,bensinpriser.nu
ShellGävleOckelbovägen 38 Hamrångefjärden,17.04,2025-10-01,98,2025-10-07,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,17.04,2025-10-01,98,2025-10-07,bensinpriser.nu
ÖvrigaÄlmhultForsells / Värmevägen 3,14.99,2025-10-06,Diesel,2025-10-07,bensinpriser.nu
IngoMalmöScheelegatan 1,15.25,2025-10-04,Diesel,2025-10-07,bensinpriser.nu
IngoMalmöLorensborgsgatan 1,15.25,2025-10-04,Diesel,2025-10-07,bensinpriser.nu
Circle KHuddingeKyrkängsbacken 1 / Fullersta,15.34,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
IngoOskarshamnÅsavägen 1,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
IngoNorrköpingLidaleden 16 / Hageby Centrum,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
IngoKalmarSödra Vägen 76,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,15.39,2025-10-06,Diesel,2025-10-07,bensinpriser.nu
IngoNorrköpingKompanigatan 3,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
IngoNorrköpingLindövägen 55,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
IngoVärmdöGustavsberg: Gustavsbergsvägen 30,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
IngoKlippanVedbyvägen 35,15.39,2025-10-04,Diesel,2025-10-07,bensinpriser.nu
IngoJönköpingHerkulesvägen,15.39,2025-10-04,Diesel,2025-10-07,bensinpriser.nu
IngoNorrköpingVagngatan 16,15.39,2025-10-05,Diesel,2025-10-07,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.29,2025-10-06,Etanol,2025-10-07,bensinpriser.nu
IngoKungsbackaVarlavägen / Kabelgatan 2,13.09,2025-10-05,Etanol,2025-10-07,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,13.19,2025-10-05,Etanol,2025-10-07,bensinpriser.nu
St1KatrineholmVassmogatan,13.19,2025-10-06,Etanol,2025-10-07,bensinpriser.nu
IngoUpplands VäsbySandavägen 1,13.19,2025-09-30,Etanol,2025-10-07,bensinpriser.nu
Börjes TankcenterUppvidingeLenhovda: Kalmarvägen,13.19,2025-10-02,Etanol,2025-10-07,bensinpriser.nu
OKQ8BåstadHallandsvägen 45,13.29,2025-09-30,Etanol,2025-10-07,bensinpriser.nu
OKQ8LundPumpvägen / Dalby,13.29,2025-10-01,Etanol,2025-10-07,bensinpriser.nu
Circle KMoraKristinebergsgatan,13.34,2025-09-30,Etanol,2025-10-07,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,13.39,2025-10-01,Etanol,2025-10-07,bensinpriser.nu
QstarHögsbySkolgatan 33,13.64,2025-10-03,Etanol,2025-10-07,bensinpriser.nu
QstarTingsrydKonga,13.69,2025-10-06,Etanol,2025-10-07,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,14.39,2025-10-06,95 (E10),2025-10-08,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.45,2025-10-06,95 (E10),2025-10-08,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.49,2025-10-07,95 (E10),2025-10-08,bensinpriser.nu
St1NorrköpingKoppargatan 11,14.54,2025-10-07,95 (E10),2025-10-08,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,14.6,2025-10-07,95 (E10),2025-10-08,bensinpriser.nu
St1PajalaKengisgatan 1,16.69,2025-10-07,98,2025-10-08,bensinpriser.nu
ÖvrigaÄlmhultForsells / Värmevägen 3,14.59,2025-10-06,Diesel,2025-10-08,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,14.6,2025-10-07,Diesel,2025-10-08,bensinpriser.nu
Circle KHuddingeKyrkängsbacken 1 / Fullersta,14.94,2025-10-05,Diesel,2025-10-08,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,14.99,2025-10-06,Diesel,2025-10-08,bensinpriser.nu
IngoNorrköpingKompanigatan 3,14.99,2025-10-05,Diesel,2025-10-08,bensinpriser.nu
IngoKlippanVedbyvägen 35,14.99,2025-10-04,Diesel,2025-10-08,bensinpriser.nu
IngoNorrköpingLindövägen 55,14.99,2025-10-05,Diesel,2025-10-08,bensinpriser.nu
IngoVärmdöGustavsberg: Gustavsbergsvägen 30,14.99,2025-10-05,Diesel,2025-10-08,bensinpriser.nu
IngoJönköpingHerkulesvägen,14.99,2025-10-04,Diesel,2025-10-08,bensinpriser.nu
OKQ8UppsalaKumlagatan 4,14.99,2025-10-06,Diesel,2025-10-08,bensinpriser.nu
IngoVärmdöVärmdö,14.99,2025-10-05,Diesel,2025-10-08,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.49,2025-10-07,Etanol,2025-10-08,bensinpriser.nu
IngoKungsbackaVarlavägen / Kabelgatan 2,13.29,2025-10-05,Etanol,2025-10-08,bensinpriser.nu
Börjes TankcenterUppvidingeLenhovda: Kalmarvägen,13.39,2025-10-07,Etanol,2025-10-08,bensinpriser.nu
St1KatrineholmVassmogatan,13.39,2025-10-07,Etanol,2025-10-08,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,13.39,2025-10-05,Etanol,2025-10-08,bensinpriser.nu
QstarHögsbySkolgatan 33,13.84,2025-10-03,Etanol,2025-10-08,bensinpriser.nu
QstarTingsrydKonga,13.89,2025-10-06,Etanol,2025-10-08,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,14.79,2025-10-06,95 (E10),2025-10-09,bensinpriser.nu
St1NorrköpingKoppargatan 11,14.79,2025-10-08,95 (E10),2025-10-09,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.85,2025-10-06,95 (E10),2025-10-09,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.89,2025-10-07,95 (E10),2025-10-09,bensinpriser.nu
IngoHelsingborgSkaragatan / Filbornavägen,14.99,2025-10-08,95 (E10),2025-10-09,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,15.0,2025-10-08,95 (E10),2025-10-09,bensinpriser.nu
OKQ8HässleholmKaptensgatan 12,15.19,2025-10-07,95 (E10),2025-10-09,bensinpriser.nu
ShellSollentunaRudbecksvägen 141,15.49,2025-10-06,98,2025-10-09,bensinpriser.nu
OKQ8Gotland SRonevägen Hemse,15.6,2025-10-06,98,2025-10-09,bensinpriser.nu
IngoHelsingborgSkaragatan / Filbornavägen,15.79,2025-10-08,98,2025-10-09,bensinpriser.nu
St1PajalaKengisgatan 1,16.39,2025-10-07,98,2025-10-09,bensinpriser.nu
PreemMarkRedskapsgatan Skene,16.64,2025-10-06,98,2025-10-09,bensinpriser.nu
St1NorrköpingKoppargatan 11,15.29,2025-10-08,Diesel,2025-10-09,bensinpriser.nu
IngoNynäshamnNynäsvägen 59,15.39,2025-10-06,Diesel,2025-10-09,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,15.39,2025-10-08,Diesel,2025-10-09,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.19,2025-10-08,Etanol,2025-10-09,bensinpriser.nu
IngoKungsbackaVarlavägen / Kabelgatan 2,12.99,2025-10-05,Etanol,2025-10-09,bensinpriser.nu
Börjes TankcenterUppvidingeLenhovda: Kalmarvägen,13.09,2025-10-07,Etanol,2025-10-09,bensinpriser.nu
St1KatrineholmVassmogatan,13.09,2025-10-08,Etanol,2025-10-09,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,13.09,2025-10-05,Etanol,2025-10-09,bensinpriser.nu
Börjes TankcenterVetlandaKorsberga: Norra Tallvägen,13.29,2025-10-07,Etanol,2025-10-09,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,13.29,2025-10-07,Etanol,2025-10-09,bensinpriser.nu
QstarHögsbySkolgatan 33,13.54,2025-10-03,Etanol,2025-10-09,bensinpriser.nu
QstarTingsrydKonga,13.59,2025-10-06,Etanol,2025-10-09,bensinpriser.nu
St1KarlshamnJannebergsvägen 6,13.89,2025-10-08,Etanol,2025-10-09,bensinpriser.nu
St1NorrköpingKoppargatan 11,14.69,2025-10-09,95 (E10),2025-10-10,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.79,2025-10-07,95 (E10),2025-10-10,bensinpriser.nu
St1HelsingborgFurutorpsgatan 78,14.89,2025-10-09,95 (E10),2025-10-10,bensinpriser.nu
IngoHelsingborgSkaragatan / Filbornavägen,14.89,2025-10-08,95 (E10),2025-10-10,bensinpriser.nu
St1HelsingborgRännarbanan 2,14.89,2025-10-09,95 (E10),2025-10-10,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,14.9,2025-10-08,95 (E10),2025-10-10,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.44,2025-10-04,98,2025-10-10,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,15.29,2025-10-05,98,2025-10-10,bensinpriser.nu
ShellSollentunaRudbecksvägen 141,15.69,2025-10-06,98,2025-10-10,bensinpriser.nu
IngoGöteborgHjällbovägen 1 Angered,15.79,2025-10-04,98,2025-10-10,bensinpriser.nu
OKQ8Gotland SRonevägen Hemse,15.8,2025-10-06,98,2025-10-10,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,15.99,2025-10-09,98,2025-10-10,bensinpriser.nu
IngoHelsingborgSkaragatan / Filbornavägen,15.99,2025-10-08,98,2025-10-10,bensinpriser.nu
St1PajalaKengisgatan 1,16.59,2025-10-07,98,2025-10-10,bensinpriser.nu
PreemHässleholmS Kringelv,16.74,2025-10-05,98,2025-10-10,bensinpriser.nu
St1NorrköpingKoppargatan 11,14.89,2025-10-09,Diesel,2025-10-10,bensinpriser.nu
IngoKalmarWismarsvägen 5,14.99,2025-10-05,Diesel,2025-10-10,bensinpriser.nu
IngoVärmdöGustavsberg: Fenix väg 21,14.99,2025-10-05,Diesel,2025-10-10,bensinpriser.nu
IngoNynäshamnNynäsvägen 59,14.99,2025-10-06,Diesel,2025-10-10,bensinpriser.nu
IngoOskarshamnÅsavägen 1,14.99,2025-10-05,Diesel,2025-10-10,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.29,2025-10-09,Etanol,2025-10-10,bensinpriser.nu
Börjes TankcenterUppvidingeLenhovda: Kalmarvägen,13.19,2025-10-07,Etanol,2025-10-10,bensinpriser.nu
St1KatrineholmVassmogatan,13.19,2025-10-09,Etanol,2025-10-10,bensinpriser.nu
Börjes TankcenterVetlandaKorsberga: Norra Tallvägen,13.39,2025-10-07,Etanol,2025-10-10,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,13.39,2025-10-07,Etanol,2025-10-10,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,13.79,2025-10-09,Etanol,2025-10-10,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,14.83,2025-10-10,95 (E10),2025-10-11,bensinpriser.nu
St1KristianstadLångebrogatan 76,14.91,2025-10-10,95 (E10),2025-10-11,bensinpriser.nu
St1LandskronaMalmövägen 29,14.94,2025-10-10,95 (E10),2025-10-11,bensinpriser.nu
St1StockholmRopstensslingan 10,15.09,2025-10-06,95 (E10),2025-10-11,bensinpriser.nu
St1KungälvEriksdal,15.11,2025-10-09,95 (E10),2025-10-11,bensinpriser.nu
ÖvrigaLindesbergVannebodagatan 15 Frövi,15.19,2025-10-07,95 (E10),2025-10-11,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.14,2025-10-04,98,2025-10-11,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,14.99,2025-10-05,98,2025-10-11,bensinpriser.nu
ShellSollentunaRudbecksvägen 141,15.39,2025-10-06,98,2025-10-11,bensinpriser.nu
IngoGöteborgHjällbovägen 1 Angered,15.49,2025-10-04,98,2025-10-11,bensinpriser.nu
OKQ8Gotland SRonevägen Hemse,15.5,2025-10-06,98,2025-10-11,bensinpriser.nu
IngoHelsingborgSkaragatan / Filbornavägen,15.69,2025-10-08,98,2025-10-11,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,15.69,2025-10-09,98,2025-10-11,bensinpriser.nu
St1PajalaKengisgatan 1,16.29,2025-10-07,98,2025-10-11,bensinpriser.nu
PreemHässleholmS Kringelv,16.44,2025-10-05,98,2025-10-11,bensinpriser.nu
IngoÄngelholmHeimdallgatan 42a,16.44,2025-10-10,98,2025-10-11,bensinpriser.nu
TankaFilipstadScheelegatan 2,14.35,2025-10-09,Diesel,2025-10-11,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.39,2025-10-10,Etanol,2025-10-11,bensinpriser.nu
St1LandskronaMalmövägen 29,12.99,2025-10-10,Etanol,2025-10-11,bensinpriser.nu
St1SvalövRönnebergsvägen 1,13.04,2025-10-10,Etanol,2025-10-11,bensinpriser.nu
IngoKungsbackaVarlavägen / Kabelgatan 2,13.19,2025-10-05,Etanol,2025-10-11,bensinpriser.nu
OKQ8BoråsAlidelundsgatan 5 / Borås djurpark,13.29,2025-10-05,Etanol,2025-10-11,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,14.49,2025-10-06,95 (E10),2025-10-12,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.55,2025-10-06,95 (E10),2025-10-12,bensinpriser.nu
St1HelsingborgFurutorpsgatan 78,14.84,2025-10-11,95 (E10),2025-10-12,bensinpriser.nu
St1HelsingborgRännarbanan 2,14.84,2025-10-11,95 (E10),2025-10-12,bensinpriser.nu
ÖvrigaLerumSjövik: Hagströms Lanthandel / Östadsvägen 367,14.89,2025-10-11,95 (E10),2025-10-12,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,14.93,2025-10-10,95 (E10),2025-10-12,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,15.79,2025-10-09,98,2025-10-12,bensinpriser.nu
ÖvrigaSäffleGas & Food V-Bro / Brovägen 33,16.19,2025-10-11,98,2025-10-12,bensinpriser.nu
IngoÄngelholmHeimdallgatan 42a,16.54,2025-10-10,98,2025-10-12,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,16.74,2025-10-07,98,2025-10-12,bensinpriser.nu
TankaFilipstadScheelegatan 2,14.15,2025-10-09,Diesel,2025-10-12,bensinpriser.nu
ÖvrigaÄlmhultForsells / Värmevägen 3,14.79,2025-10-06,Diesel,2025-10-12,bensinpriser.nu
Circle KHuddingeKyrkängsbacken 1 / Fullersta,15.14,2025-10-05,Diesel,2025-10-12,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,15.19,2025-10-06,Diesel,2025-10-12,bensinpriser.nu
IngoNorrköpingKompanigatan 3,15.19,2025-10-05,Diesel,2025-10-12,bensinpriser.nu
IngoNorrköpingLindövägen 55,15.19,2025-10-05,Diesel,2025-10-12,bensinpriser.nu
IngoVärmdöGustavsberg: Gustavsbergsvägen 30,15.19,2025-10-05,Diesel,2025-10-12,bensinpriser.nu
IngoVärmdöVärmdö,15.19,2025-10-05,Diesel,2025-10-12,bensinpriser.nu
OKQ8UppsalaKumlagatan 4,15.19,2025-10-06,Diesel,2025-10-12,bensinpriser.nu
IngoVärmdöGustavsberg: Fenix väg 21,15.19,2025-10-05,Diesel,2025-10-12,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.49,2025-10-11,Etanol,2025-10-12,bensinpriser.nu
St1LandskronaMalmövägen 29,13.09,2025-10-11,Etanol,2025-10-12,bensinpriser.nu
St1SvalövRönnebergsvägen 1,13.14,2025-10-11,Etanol,2025-10-12,bensinpriser.nu
St1HelsingborgFurutorpsgatan 78,15.04,2025-10-12,95 (E10),2025-10-13,bensinpriser.nu
St1HelsingborgRännarbanan 2,15.04,2025-10-12,95 (E10),2025-10-13,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,15.09,2025-10-12,95 (E10),2025-10-13,bensinpriser.nu
ÖvrigaLerumSjövik: Hagströms Lanthandel / Östadsvägen 367,15.09,2025-10-11,95 (E10),2025-10-13,bensinpriser.nu
St1GislavedJärnvägsgatan 16,665.7,2025-10-08,98,2025-10-13,bensinpriser.nu
St1VetlandaLasarettsgatan 70,665.7,2025-10-06,98,2025-10-13,bensinpriser.nu
IngoNynäshamnNynäsvägen 59,15.19,2025-10-06,Diesel,2025-10-13,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,15.29,2025-10-06,Diesel,2025-10-13,bensinpriser.nu
IngoNorrköpingVagngatan 16,15.39,2025-10-07,Diesel,2025-10-13,bensinpriser.nu
St1HelsingborgFurutorpsgatan 78,15.59,2025-10-12,Diesel,2025-10-13,bensinpriser.nu
St1HelsingborgRännarbanan 2,15.59,2025-10-12,Diesel,2025-10-13,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,15.68,2025-10-10,Diesel,2025-10-13,bensinpriser.nu
St1KristianstadLångebrogatan 76,15.69,2025-10-12,Diesel,2025-10-13,bensinpriser.nu
Börjes TankcenterVetlandaHällingevägen 4,15.7,2025-10-07,Diesel,2025-10-13,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.49,2025-10-12,Etanol,2025-10-13,bensinpriser.nu
St1HalmstadNissastigen / Oskarström,12.99,2025-10-12,Etanol,2025-10-13,bensinpriser.nu
St1LandskronaMalmövägen 29,13.09,2025-10-12,Etanol,2025-10-13,bensinpriser.nu
ÖvrigaTorsåsTorsås: Bergkvarav 7,14.35,2025-10-13,95 (E10),2025-10-14,bensinpriser.nu
din-XHelsingborgRydebäck: Landskronavägen 749,14.54,2025-10-13,95 (E10),2025-10-14,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,14.79,2025-10-12,95 (E10),2025-10-14,bensinpriser.nu
ÖvrigaLerumSjövik: Hagströms Lanthandel / Östadsvägen 367,14.79,2025-10-11,95 (E10),2025-10-14,bensinpriser.nu
St1GullspångHova: Mariestadsvägen 36,14.84,2025-10-13,95 (E10),2025-10-14,bensinpriser.nu
ÖvrigaSäffleGas & Food V-Bro / Brovägen 33,15.59,2025-10-13,98,2025-10-14,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,16.64,2025-10-13,98,2025-10-14,bensinpriser.nu
St1GislavedJärnvägsgatan 16,665.6,2025-10-08,98,2025-10-14,bensinpriser.nu
ÖvrigaTorsåsTorsås: Bergkvarav 7,15.09,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,15.09,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
IngoNorrköpingVagngatan 16,15.19,2025-10-07,Diesel,2025-10-14,bensinpriser.nu
Börjes TankcenterVetlandaHällingevägen 4,15.26,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
Börjes TankcenterVetlandaKorsberga: Norra Tallvägen,15.26,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
Börjes TankcenterUppvidingeLenhovda: Kalmarvägen,15.26,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,15.26,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
Börjes TankcenterVäxjöMinkvägen 3 / Bävervägen,15.26,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
Börjes TankcenterNybroOrrefors: Frösekevägen,15.26,2025-10-13,Diesel,2025-10-14,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.49,2025-10-13,Etanol,2025-10-14,bensinpriser.nu
St1GullspångHova: Mariestadsvägen 36,13.19,2025-10-13,Etanol,2025-10-14,bensinpriser.nu
St1FalköpingNordmannagatan 2,13.34,2025-10-13,Etanol,2025-10-14,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.45,2025-10-14,95 (E10),2025-10-15,bensinpriser.nu
ÖvrigaTorsåsTorsås: Bergkvarav 7,14.45,2025-10-13,95 (E10),2025-10-15,bensinpriser.nu
St1LandskronaMalmövägen 29,14.84,2025-10-14,95 (E10),2025-10-15,bensinpriser.nu
St1SvalövRönnebergsvägen 1,14.89,2025-10-14,95 (E10),2025-10-15,bensinpriser.nu
IngoLandskronaFöretagsvägen 2,14.89,2025-10-12,95 (E10),2025-10-15,bensinpriser.nu
BlikstorpsSkövdeIgelstorp / Väg 49,14.94,2025-10-13,95 (E10),2025-10-15,bensinpriser.nu
TankaHörbySlagtoftavägen 60,16.64,2025-10-14,98,2025-10-15,bensinpriser.nu
OKQ8DanderydEnebybergsvägen 4,499.6,2025-10-14,98,2025-10-15,bensinpriser.nu
St1NässjöSörängsvägen 9,665.6,2025-10-14,98,2025-10-15,bensinpriser.nu
TankaFilipstadScheelegatan 2,14.05,2025-10-09,Diesel,2025-10-15,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,15.19,2025-10-14,Diesel,2025-10-15,bensinpriser.nu
ÖvrigaTorsåsTorsås: Bergkvarav 7,15.19,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
Backabo mackenKarlskronaIndustrivägen 4,15.19,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,15.36,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
IngoVetlandaVetlanda: Nygatan 1,15.36,2025-10-14,Diesel,2025-10-15,bensinpriser.nu
Börjes TankcenterVäxjöMinkvägen 3 / Bävervägen,15.36,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
Börjes TankcenterNybroOrrefors: Frösekevägen,15.36,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
St1VetlandaLasarettsgatan 70,15.36,2025-10-14,Diesel,2025-10-15,bensinpriser.nu
Börjes TankcenterNybroAlsterbro: Alstervägen 35,15.36,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
Börjes TankcenterVetlandaHällingevägen 4,15.36,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
Börjes TankcenterVetlandaKorsberga: Norra Tallvägen,15.36,2025-10-13,Diesel,2025-10-15,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.09,2025-10-14,Etanol,2025-10-15,bensinpriser.nu
St1LandskronaMalmövägen 29,12.69,2025-10-14,Etanol,2025-10-15,bensinpriser.nu
St1SvalövRönnebergsvägen 1,12.74,2025-10-14,Etanol,2025-10-15,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.35,2025-10-14,95 (E10),2025-10-16,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,14.35,2025-10-15,95 (E10),2025-10-16,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,14.49,2025-10-15,95 (E10),2025-10-16,bensinpriser.nu
St1LandskronaMalmövägen 29,14.74,2025-10-15,95 (E10),2025-10-16,bensinpriser.nu
TankaÄlmhultTorvströvägen 4,15.69,2025-10-15,98,2025-10-16,bensinpriser.nu
ÖvrigaSäffleGas & Food V-Bro / Brovägen 33,15.69,2025-10-13,98,2025-10-16,bensinpriser.nu
TankaHörbySlagtoftavägen 60,16.74,2025-10-14,98,2025-10-16,bensinpriser.nu
Börjes TankcenterUppvidingeJärnvägsgatan 47 Åseda,16.74,2025-10-13,98,2025-10-16,bensinpriser.nu
OKQ8UppsalaKungsgatan 80,16.89,2025-10-15,98,2025-10-16,bensinpriser.nu
OKQ8DanderydEnebybergsvägen 4,499.7,2025-10-14,98,2025-10-16,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,14.55,2025-10-15,Diesel,2025-10-16,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,15.09,2025-10-14,Diesel,2025-10-16,bensinpriser.nu
OKQ8TorsåsKalmarvägen 10,15.09,2025-10-15,Diesel,2025-10-16,bensinpriser.nu
IngoVetlandaVetlanda: Nygatan 1,15.26,2025-10-14,Diesel,2025-10-16,bensinpriser.nu
Börjes TankcenterNybroAlsterbro: Alstervägen 35,15.26,2025-10-13,Diesel,2025-10-16,bensinpriser.nu
St1VetlandaLasarettsgatan 70,15.26,2025-10-15,Diesel,2025-10-16,bensinpriser.nu
St1KristianstadLångebrogatan 76,12.39,2025-10-15,Etanol,2025-10-16,bensinpriser.nu
St1RonnebyKarlshamnsvägen / Sörbyvägen,12.94,2025-10-15,Etanol,2025-10-16,bensinpriser.nu
St1RonnebyBräknevägen 17 / Bräkne-hoby,12.94,2025-10-15,Etanol,2025-10-16,bensinpriser.nu
ÖvrigaÄlmhultForsells / Värmevägen 3,14.09,2025-10-15,95 (E10),2025-10-17,bensinpriser.nu
ÖvrigaTorsåsAllfargatan 41,14.45,2025-10-16,95 (E10),2025-10-17,bensinpriser.nu
ÖvrigaBoråsViskafors Bensin AB: Varbergsvägen 150,14.45,2025-10-15,95 (E10),2025-10-17,bensinpriser.nu
